mmsi,latitude,longitude,header_sec,header_nanosec,bag_name
203245328,43.407331666666664,16.179793333333333,1749303497,910821197,blue_lagoon_imu
240696200,43.465756666666664,16.188271666666665,1749303498,870643904,blue_lagoon_imu
203247262,43.40633,16.18998,1749303503,269796717,blue_lagoon_imu
538072144,43.39841333333333,16.194498333333332,1749303504,998139051,blue_lagoon_imu
238066340,43.45585333333333,16.244605,1749303508,404853607,blue_lagoon_imu
259018870,43.44014333333333,16.173863333333333,1749303509,76629248,blue_lagoon_imu
232016168,43.399116666666664,16.157383333333332,1749303511,747797129,blue_lagoon_imu
238605740,43.463091666666664,16.208333333333332,1749303512,788274663,blue_lagoon_imu
238858440,43.45131833333333,16.24898,1749303513,268095982,blue_lagoon_imu
238107340,43.446765,16.222303333333333,1749303515,795305590,blue_lagoon_imu
538072144,43.39841333333333,16.194546666666668,1749303516,515356945,blue_lagoon_imu
238066340,43.455655,16.244941666666666,1749303517,522965183,blue_lagoon_imu
538072144,43.39841333333333,16.19456,1749303519,506512144,blue_lagoon_imu
238850640,43.431248333333336,16.180866666666667,1749303521,634208748,blue_lagoon_imu
538072144,43.39841666666667,16.19457166666667,1749303522,754904700,blue_lagoon_imu
538072144,43.39842,16.194576666666666,1749303525,297277724,blue_lagoon_imu
203245328,43.406925,16.18058,1749303526,625136406,blue_lagoon_imu
238066340,43.455418333333334,16.245353333333334,1749303528,576959571,blue_lagoon_imu
538072144,43.39842,16.194583333333334,1749303529,104873196,blue_lagoon_imu
538072144,43.398425,16.194588333333332,1749303532,512040139,blue_lagoon_imu
244029246,91.0,181.0,1749303532,831895010,blue_lagoon_imu
538072144,43.398428333333335,16.194593333333334,1749303536,303867984,blue_lagoon_imu
